Page,PageComplete,Type,Accession,Code,Catalog
4,True,SKINS,11857,E,122461
4,True,SKINS,11857,E,122463
4,True,SKINS,11857,E,122464
4,True,SKINS,11857,E,122465
4,True,SKINS,11857,E,122466
4,True,SKINS,11857,E,122467
4,True,SKINS,11857,E,122468
4,True,SKINS,11857,E,122469
4,True,SKINS,11857,E,122470
4,True,SKINS,11857,E,122471
4,True,SKINS,11857,E,122472
4,True,SKINS,11857,E,122473
4,True,SKINS,11857,E,122474
4,True,SKINS,11857,E,122475
4,True,SKINS,11857,E,122476
4,True,SKINS,11857,E,122477
4,True,SKINS,11857,E,122478
4,True,SKINS,11857,E,122479
4,True,SKINS,11857,E,122480
4,True,SKINS,11857,E,122481
4,True,SKINS,11857,E,122482
4,True,SKINS,11857,E,122483
4,True,SKINS,11857,E,122484
4,True,SKINS,11857,E,122485
4,True,SKINS,11857,E,122486
4,True,SKINS,11857,E,122487
4,True,SKINS,11857,E,122488
4,True,SKINS,11857,E,122489
4,True,SKINS,11857,E,122490
4,True,SKINS,11857,E,122491
4,True,SKINS,11857,E,122492
4,True,SKINS,11857,E,122493
4,True,SKINS,11857,E,122494
4,True,SKINS,11857,E,122495
4,True,SKINS,11857,E,122496
4,True,SKINS,11857,E,122497
4,True,SKINS,11857,E,122498
4,True,SKINS,11857,E,122499
4,True,SKINS,11857,E,122500
4,True,SKINS,11857,E,122501
4,True,SKINS,11857,E,122502
4,True,SKINS,11857,E,122503
4,True,SKINS,11857,E,122504
4,True,SKINS,11857,E,122505
4,True,SKINS,11857,E,122506
4,True,SKINS,11857,E,122507
4,True,SKINS,11857,G,122400
4,True,SKINS,11858,E,122515
4,True,SKINS,11858,E,122611
4,True,SKINS,11858,E,122638
4,True,SKINS,11858,E,122655
4,True,SKINS,11889,E,124780
4,True,SKINS,11889,E,124781
4,True,SKINS,11889,E,124782
4,True,SKINS,11889,E,124783
4,True,SKINS,11889,E,124784
4,True,SKINS,11889,E,124785
4,True,SKINS,11889,E,124786
4,True,SKINS,11889,E,124787
4,True,SKINS,11889,E,124788
4,True,SKINS,11889,E,124789
4,True,SKINS,11889,E,124790
4,True,SKINS,11889,E,124791
4,True,SKINS,11889,E,124792
4,True,SKINS,11889,E,124793
4,True,SKINS,11889,E,124794
4,True,SKINS,11889,E,124795
4,True,SKINS,11889,E,124796
4,True,SKINS,11889,E,124797
4,True,SKINS,11889,E,124798
4,True,SKINS,11889,E,124799
4,True,SKINS,11889,E,124800
4,True,SKINS,11889,E,124801
4,True,SKINS,11889,E,124802
4,True,SKINS,11889,E,124803
5,True,SKINS,120,G,234
5,True,SKINS,122,E,235
5,True,SKINS,1219,E,4501
5,True,SKINS,1219,E,4506
5,True,SKINS,1219,E,4533
5,True,SKINS,1219,E,4575
5,True,SKINS,1219,E,4580
5,True,SKINS,1219,E,4603
5,True,SKINS,1219,E,4604
5,True,SKINS,1219,E,4609
5,True,SKINS,1219,E,4630
5,True,SKINS,1219,E,4664
5,True,SKINS,1219,E,4666
5,True,SKINS,1245,E,4688
5,True,SKINS,11889,E,124804
5,True,SKINS,11889,E,124805
5,True,SKINS,11889,E,124806
5,True,SKINS,11889,E,124807
5,True,SKINS,11889,E,124809
5,True,SKINS,11889,E,124810
5,True,SKINS,11889,E,124811
5,True,SKINS,11889,E,124812
5,True,SKINS,11889,E,124813
5,True,SKINS,11889,E,124814
5,True,SKINS,11889,E,124815
5,True,SKINS,11889,E,124816
5,True,SKINS,11889,E,124817
5,True,SKINS,11889,E,124818
5,True,SKINS,11889,E,124819
5,True,SKINS,11889,E,124820
5,True,SKINS,11889,E,124821
5,True,SKINS,11889,E,124822
5,True,SKINS,11889,E,124823
5,True,SKINS,11889,E,124824
5,True,SKINS,11889,E,124825
5,True,SKINS,11889,E,124826
5,True,SKINS,11889,E,124827
5,True,SKINS,11889,E,124828
5,True,SKINS,11889,E,124829
5,True,SKINS,11889,E,124830
5,True,SKINS,11889,E,124831
5,True,SKINS,11889,E,124832
5,True,SKINS,11889,E,124833
5,True,SKINS,11889,E,124834
5,True,SKINS,11889,E,124835
5,True,SKINS,11889,E,124836
5,True,SKINS,11889,E,124837
