Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
3,True,SKINS,1134,E,4347,172,1997-05-01,,,
3,True,SKINS,1134,E,4348,172,1997-05-01,,,
3,True,SKINS,1134,G,4343,172,1997-05-01,,,
3,True,SKINS,11549,E,120754,172,1997-05-01,,,
3,True,SKINS,11549,E,120807,172,1997-05-01,,,
3,True,SKINS,11549,E,120825,172,1997-05-01,,,
3,True,SKINS,11549,E,120827,172,1997-05-01,,,
3,True,SKINS,11550,E,120904,172,1997-05-01,,,
3,True,SKINS,11550,E,120905,172,1997-05-01,,,
3,True,SKINS,11550,E,120906,172,1997-05-01,,,
3,True,SKINS,11550,E,120907,172,1997-05-01,,,
3,True,SKINS,11550,E,120908,172,1997-05-01,,,
3,True,SKINS,11550,E,120909,172,1997-05-01,,,
3,True,SKINS,11550,E,120910,172,1997-05-01,,,
3,True,SKINS,11550,E,120911,172,1997-05-01,,,
3,True,SKINS,11550,E,120912,172,1997-05-01,,,
3,True,SKINS,11550,E,120913,172,1997-05-01,,,
3,True,SKINS,11550,E,120914,172,1997-05-01,,,
3,True,SKINS,11550,E,120915,172,1997-05-01,,,
3,True,SKINS,11550,E,120916,172,1997-05-01,,,
3,True,SKINS,11550,E,120917,172,1997-05-01,,,
3,True,SKINS,11550,E,120918,172,1997-05-01,,,
3,True,SKINS,11550,E,120919,172,1997-05-01,,,
3,True,SKINS,11550,E,120920,172,1997-05-01,,,
3,True,SKINS,11550,E,120921,172,1997-05-01,,,
3,True,SKINS,11550,E,120922,172,1997-05-01,,,
3,True,SKINS,11550,E,120923,172,1997-05-01,,,
3,True,SKINS,11550,E,120924,172,1997-05-01,,,
3,True,SKINS,11550,E,120925,172,1997-05-01,,,
3,True,SKINS,11550,E,120926,172,1997-05-01,,,
3,True,SKINS,11550,E,120927,172,1997-05-01,,,
3,True,SKINS,11550,E,120928,172,1997-05-01,,,
3,True,SKINS,11550,E,120929,172,1997-05-01,,,
3,True,SKINS,11550,E,120930,172,1997-05-01,,,
3,True,SKINS,11550,E,120931,172,1997-05-01,,,
3,True,SKINS,11550,E,120932,172,1997-05-01,,,
3,True,SKINS,11550,E,120933,172,1997-05-01,,,
3,True,SKINS,11550,E,120934,172,1997-05-01,,,
3,True,SKINS,11550,E,120935,172,1997-05-01,,,
3,True,SKINS,11550,E,120936,172,1997-05-01,,,
3,True,SKINS,11550,E,120937,172,1997-05-01,,,
3,True,SKINS,11550,E,120938,172,1997-05-01,,,
3,True,SKINS,11550,E,120939,172,1997-05-01,,,
3,True,SKINS,11550,E,120940,172,1997-05-01,,,
3,True,SKINS,11550,E,120942,172,1997-05-01,,,
3,True,SKINS,11550,E,120943,172,1997-05-01,,,
3,True,SKINS,11550,E,120944,172,1997-05-01,,,
3,True,SKINS,11550,E,120945,172,1997-05-01,,,
3,True,SKINS,11550,E,120946,172,1997-05-01,,,
3,True,SKINS,11550,E,120947,172,1997-05-01,,,
3,True,SKINS,11550,E,120948,172,1997-05-01,,,
3,True,SKINS,11550,E,120949,172,1997-05-01,,,
3,True,SKINS,11550,E,120950,172,1997-05-01,,,
3,True,SKINS,11550,E,120951,172,1997-05-01,,,
3,True,SKINS,11550,E,120952,172,1997-05-01,,,
3,True,SKINS,11550,E,120953,172,1997-05-01,,,
3,True,SKINS,11550,E,120954,172,1997-05-01,,,
3,True,SKINS,11550,E,120955,172,1997-05-01,,,
3,True,SKINS,11550,E,120956,172,1997-05-01,,,
3,True,SKINS,11550,E,120957,172,1997-05-01,,,
3,True,SKINS,11550,E,120958,172,1997-05-01,,,
3,True,SKINS,11550,E,120959,172,1997-05-01,,,
3,True,SKINS,11550,E,120960,172,1997-05-01,,,
3,True,SKINS,11550,E,120961,172,1997-05-01,,,
3,True,SKINS,11550,E,120962,172,1997-05-01,,,
3,True,SKINS,11550,E,120963,172,1997-05-01,,,
3,True,SKINS,11550,E,120964,172,1997-05-01,,,
3,True,SKINS,11550,E,120965,172,1997-05-01,,,
3,True,SKINS,11550,E,120966,172,1997-05-01,,,
3,True,SKINS,11550,E,120967,172,1997-05-01,,,
3,True,SKINS,11550,E,120968,172,1997-05-01,,,
3,True,SKINS,11550,E,120969,172,1997-05-01,,,
3,True,SKINS,11550,E,120970,172,1997-05-01,,,
3,True,SKINS,11550,E,120971,172,1997-05-01,,,
3,True,SKINS,11550,E,120972,172,1997-05-01,,,
3,True,SKINS,11550,E,120973,172,1997-05-01,,,
3,True,SKINS,11550,E,120974,172,1997-05-01,,,
3,True,SKINS,11550,E,120975,172,1997-05-01,,,
3,True,SKINS,11550,E,120976,172,1997-05-01,,,
3,True,SKINS,11550,E,120977,172,1997-05-01,,,
3,True,SKINS,11550,E,120978,172,1997-05-01,,,
3,True,SKINS,11550,E,120979,172,1997-05-01,,,
3,True,SKINS,11550,E,120980,172,1997-05-01,,,
3,True,SKINS,11550,E,120981,172,1997-05-01,,,
3,True,SKINS,11550,E,120982,172,1997-05-01,,,
3,True,SKINS,11550,E,120983,172,1997-05-01,,,
3,True,SKINS,11550,E,120984,172,1997-05-01,,,
3,True,SKINS,11550,E,120985,172,1997-05-01,,,
3,True,SKINS,11550,E,120986,172,1997-05-01,,,
3,True,SKINS,11550,E,120987,172,1997-05-01,,,
3,True,SKINS,11550,E,120988,172,1997-05-01,,,
3,True,SKINS,11550,E,120989,172,1997-05-01,,,
3,True,SKINS,11550,E,120990,172,1997-05-01,,,
3,True,SKINS,11550,E,120991,172,1997-05-01,,,
3,True,SKINS,11550,E,120992,172,1997-05-01,,,
3,True,SKINS,11550,E,120993,172,1997-05-01,,,
3,True,SKINS,11550,E,120994,172,1997-05-01,,,
3,True,SKINS,11550,E,120995,172,1997-05-01,,,
3,True,SKINS,11550,E,120996,172,1997-05-01,,,
3,True,SKINS,11550,E,120997,172,1997-05-01,,,
3,True,SKINS,11550,E,120998,172,1997-05-01,,,
3,True,SKINS,11550,E,120999,172,1997-05-01,,,
3,True,SKINS,11550,E,121000,172,1997-05-01,,,
3,True,SKINS,11550,E,121001,172,1997-05-01,,,
3,True,SKINS,11550,E,121002,172,1997-05-01,,,
3,True,SKINS,11550,E,121003,172,1997-05-01,,,
3,True,SKINS,11550,E,121004,172,1997-05-01,,,
3,True,SKINS,11550,E,121005,172,1997-05-01,,,
3,True,SKINS,11550,E,121006,172,1997-05-01,,,
3,True,SKINS,11550,E,121007,172,1997-05-01,,,
3,True,SKINS,11550,E,121008,172,1997-05-01,,,
3,True,SKINS,11550,E,121010,172,1997-05-01,,,
3,True,SKINS,11550,E,121011,172,1997-05-01,,,
3,True,SKINS,11550,E,121012,172,1997-05-01,,,
3,True,SKINS,11550,E,121013,172,1997-05-01,,,
3,True,SKINS,11550,E,121014,172,1997-05-01,,,
3,True,SKINS,11550,E,121015,172,1997-05-01,,,
3,True,SKINS,11550,E,121016,172,1997-05-01,,,
3,True,SKINS,11550,E,121017,172,1997-05-01,,,
3,True,SKINS,11550,E,121018,172,1997-05-01,,,
3,True,SKINS,11550,E,121019,172,1997-05-01,,,
3,True,SKINS,11550,E,121020,172,1997-05-01,,,
3,True,SKINS,11550,E,121021,172,1997-05-01,,,
3,True,SKINS,11550,E,121022,172,1997-05-01,,,
3,True,SKINS,11550,E,121023,172,1997-05-01,,,
3,True,SKINS,11550,E,121024,172,1997-05-01,,,
3,True,SKINS,11550,E,121025,172,1997-05-01,,,
3,True,SKINS,11550,E,121030,172,1997-05-01,,,
3,True,SKINS,11550,E,121031,172,1997-05-01,,,
3,True,SKINS,11550,E,121032,172,1997-05-01,,,
3,True,SKINS,11550,E,121033,172,1997-05-01,,,
3,True,SKINS,11550,E,121034,172,1997-05-01,,,
4,True,SKINS,1188,E,4373,172,1997-05-01,,,
4,True,SKINS,1188,E,4393,172,1997-05-01,,,
4,True,SKINS,11550,E,121035,172,1997-05-01,,,
